GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID
MNT	FBgn0023215	FBtr0307277	FBpp0298278		E1JJD1
MNT	FBgn0023215	FBtr0307277	FBpp0298278		M9NDN0
MNT	FBgn0023215	FBtr0307277	FBpp0298278		O46042
MNT	FBgn0023215	FBtr0307277	FBpp0298278		M9NGP0
MNT	FBgn0023215	FBtr0070578	FBpp0070553		Q8SY46
MNT	FBgn0023215	FBtr0301824	FBpp0291038		E1JJD1
MNT	FBgn0023215	FBtr0301825	FBpp0291039		Q9W4Q7
MNT	FBgn0023215	FBtr0301822	FBpp0291036		X2JDM5
MNT	FBgn0023215	FBtr0301822	FBpp0291036		Q9W4Q7
MNT	FBgn0023215	FBtr0301822	FBpp0291036		M9NGP0
MNT	FBgn0023215	FBtr0301822	FBpp0291036		E1JJE8
MNT	FBgn0023215	FBtr0301822	FBpp0291036		Q8SY46
CG42307	FBgn0259203	FBtr0299693	FBpp0288971		B7Z0C9
CG42307	FBgn0259203	FBtr0344452	FBpp0310824		B7Z0C9
CG42307	FBgn0259203	FBtr0299691	FBpp0288969		B7Z0C9
CG42307	FBgn0259203	FBtr0299692	FBpp0288970		B7Z0C9
CG31683	FBgn0051683	FBtr0081365	FBpp0080897		Q9Y168
CG31683	FBgn0051683	FBtr0330662	FBpp0303512		Q9Y168
TAF2	FBgn0011836	FBtr0332688	FBpp0304934	Q24325	E8NHB1
TAF2	FBgn0011836	FBtr0076361	FBpp0076090	Q24325	E8NHB1
HIS2B:CG33884	FBgn0053884	FBtr0091888	FBpp0091129	P02283
LM408	FBgn0027611	FBtr0080031	FBpp0079621		Q8IPB7
LM408	FBgn0027611	FBtr0080030	FBpp0079620		Q9VKV1
CG4854	FBgn0038766	FBtr0083830	FBpp0083239		Q9VDQ5
CG3511	FBgn0035027	FBtr0072309	FBpp0072216		Q960Q8
CG3511	FBgn0035027	FBtr0343484	FBpp0310092		Q960Q8
CAPS	FBgn0053653	FBtr0091630	FBpp0088329
CAPS	FBgn0053653	FBtr0307333	FBpp0298334		D8FT31
CAPS	FBgn0053653	FBtr0091631	FBpp0088330	Q9NHE5
CAPS	FBgn0053653	FBtr0333702	FBpp0305855
CAPS	FBgn0053653	FBtr0307334	FBpp0298335
CG8060	FBgn0034113	FBtr0087178	FBpp0086322		Q95R60
CG8060	FBgn0034113	FBtr0087178	FBpp0086322		A1ZAE2
LAMBDATRY	FBgn0043470	FBtr0088121	FBpp0087222		Q7JPN9
DESAT1	FBgn0086687	FBtr0082627	FBpp0082096		Q7K4Y0
DESAT1	FBgn0086687	FBtr0082628	FBpp0082097		Q7K4Y0
DESAT1	FBgn0086687	FBtr0082630	FBpp0082099		Q8SZK8
DESAT1	FBgn0086687	FBtr0082630	FBpp0082099		Q94541
DESAT1	FBgn0086687	FBtr0082630	FBpp0082099		Q9U972
DESAT1	FBgn0086687	FBtr0082630	FBpp0082099		Q7K4Y0
DESAT1	FBgn0086687	FBtr0082629	FBpp0082098		Q7K4Y0
DESAT1	FBgn0086687	FBtr0082626	FBpp0082095		Q7K4Y0
CG11109	FBgn0037200	FBtr0078552	FBpp0078203		Q6NNV8
CG11109	FBgn0037200	FBtr0078552	FBpp0078203		Q8IPS4
CG11109	FBgn0037200	FBtr0078553	FBpp0078204		Q9VNQ1
CG31688	FBgn0263355	FBtr0330203	FBpp0303236		M9PD98
CG31688	FBgn0263355	FBtr0273378	FBpp0271886		B7YZX9
CG31688	FBgn0263355	FBtr0330204	FBpp0303237		M9PD98
CG31688	FBgn0263355	FBtr0308895	FBpp0301022		B7YZX9
CG31688	FBgn0263355	FBtr0330661	FBpp0303511		Q9VIM1
CG31688	FBgn0263355	FBtr0330661	FBpp0303511		M9PD98
CG31688	FBgn0263355	FBtr0330661	FBpp0303511		B7YZX9
CG42327	FBgn0259227	FBtr0299789	FBpp0289067		Q0IGW3
CG42327	FBgn0259227	FBtr0299789	FBpp0289067		Q4QQ46
CG42327	FBgn0259227	FBtr0299789	FBpp0289067		Q0KI81
COLT	FBgn0019830	FBtr0077731	FBpp0077414	Q9VQG4
COLT	FBgn0019830	FBtr0077734	FBpp0089377	Q9VQG4
CG6220	FBgn0033865	FBtr0087650	FBpp0086776		Q8T3R1
CG6220	FBgn0033865	FBtr0087650	FBpp0086776		A1Z9G9
INR-A	FBgn0264962	FBtr0302109	FBpp0291319		C0P8M6
INR-A	FBgn0264962	FBtr0339986	FBpp0309007		A0A0B4LFE6
INR-A	FBgn0264962	FBtr0339985	FBpp0309006		A0A0B4LF47
INR-A	FBgn0264962	FBtr0345528	FBpp0311632		A0A0B4LFF9
INR-A	FBgn0264962	FBtr0302294	FBpp0291500		A1Z9W4
INR-A	FBgn0264962	FBtr0302560	FBpp0291716		C7LA61
INR-A	FBgn0264962	FBtr0302560	FBpp0291716		A0A0B4LFF9
INR-A	FBgn0264962	FBtr0301513	FBpp0290728		Q8IGR2
INR-A	FBgn0264962	FBtr0301513	FBpp0290728		E1JH68
ELP3	FBgn0031604	FBtr0077439	FBpp0077129	Q9VQZ6
CG14103	FBgn0036908	FBtr0074927	FBpp0074696		Q9VW40
CG14103	FBgn0036908	FBtr0333878	FBpp0306010		Q9VW40
MTM	FBgn0025742	FBtr0345290	FBpp0311457		Q7KPF5
MTM	FBgn0025742	FBtr0345290	FBpp0311457		Q9VMI9
MTM	FBgn0025742	FBtr0079223	FBpp0078854		Q9VMI9
SICILY	FBgn0030352	FBtr0346165	FBpp0311993	Q9VYS5	X2JJK8
SICILY	FBgn0030352	FBtr0073572	FBpp0073416	Q9VYS5	X2JJK8
CG11077	FBgn0039930	FBtr0089222	FBpp0088286	Q9V492
CG32638	FBgn0052638	FBtr0300453	FBpp0289681		Q6AWR7
CG32638	FBgn0052638	FBtr0300453	FBpp0289681		Q8IR72
RTET	FBgn0028468	FBtr0084009	FBpp0083412		Q9V395
CG3556	FBgn0029708	FBtr0308916	FBpp0301042	Q9W4K2	M9NGQ5
CG3556	FBgn0029708	FBtr0070674	FBpp0070642	Q9W4K2	M9NGQ5
CG3808	FBgn0036838	FBtr0075041	FBpp0074808		B5RIS0
CG3808	FBgn0036838	FBtr0075041	FBpp0074808		Q95R49
CG3808	FBgn0036838	FBtr0075041	FBpp0074808		Q9VVV7
RPL32	FBgn0002626	FBtr0085592	FBpp0084958	P04359
RPL32	FBgn0002626	FBtr0085594	FBpp0084960	P04359
RPL32	FBgn0002626	FBtr0085593	FBpp0084959	P04359	A0A0F6PCQ7
RPL32	FBgn0002626	FBtr0085593	FBpp0084959	P04359	G8E4R5
RPL32	FBgn0002626	FBtr0085593	FBpp0084959	P04359	A0A1B3Q3R0
RPL32	FBgn0002626	FBtr0114555	FBpp0113047	P04359
R	FBgn0003189	FBtr0340156	FBpp0309142	P05990	X2JFG0
R	FBgn0003189	FBtr0340155	FBpp0309141	P05990	X2JFG0
R	FBgn0003189	FBtr0089734	FBpp0088675	P05990	Q1RKZ5
R	FBgn0003189	FBtr0089734	FBpp0088675	P05990	A6YH32
R	FBgn0003189	FBtr0089734	FBpp0088675	P05990	X2JFG0
CG32712	FBgn0052712	FBtr0300386	FBpp0289615		Q4V6P8
CG32712	FBgn0052712	FBtr0300386	FBpp0289615		B5RJ01
CG32712	FBgn0052712	FBtr0300386	FBpp0289615		Q0Z992
CG32712	FBgn0052712	FBtr0300386	FBpp0289615		Q0Z990
CG32712	FBgn0052712	FBtr0300386	FBpp0289615		Q0Z9A1
CG32712	FBgn0052712	FBtr0300386	FBpp0289615		Q0Z991
CG32712	FBgn0052712	FBtr0300386	FBpp0289615		Q0Z995
CG32712	FBgn0052712	FBtr0300386	FBpp0289615		Q0Z999
CG32712	FBgn0052712	FBtr0300386	FBpp0289615		Q0Z994
CG32712	FBgn0052712	FBtr0300386	FBpp0289615		Q8IRN4
CG1227	FBgn0037491	FBtr0339736	FBpp0308786		Q9VI84
CG1227	FBgn0037491	FBtr0081598	FBpp0081116		Q9VI84
CG7824	FBgn0039711	FBtr0303035	FBpp0292154		Q7JRK6
CG7824	FBgn0039711	FBtr0089927	FBpp0088866		C6TP75
CG7824	FBgn0039711	FBtr0089927	FBpp0088866		C1C3F7
CG7824	FBgn0039711	FBtr0089927	FBpp0088866		Q9VAF3
CG2608	FBgn0032870	FBtr0081384	FBpp0080915		Q9VIL2
CG42762	FBgn0261830	FBtr0303390	FBpp0292452		M9MRL4
X11L	FBgn0026313	FBtr0333757	FBpp0305899		Q9GQQ6
X11L	FBgn0026313	FBtr0333757	FBpp0305899		E1JJN6
X11L	FBgn0026313	FBtr0301696	FBpp0290910		E1JJN6
X11L	FBgn0026313	FBtr0340621	FBpp0309485		X2JE74
X11L	FBgn0026313	FBtr0074451	FBpp0074225		Q9VX41
X11L	FBgn0026313	FBtr0340620	FBpp0309484		M9PF12
CG17260	FBgn0031498	FBtr0077653	FBpp0077338		Q9VQL2
CG17260	FBgn0031498	FBtr0344088	FBpp0310513		Q9VQL2
CG17260	FBgn0031498	FBtr0335478	FBpp0307452		Q9VQL2
CG42496	FBgn0260222	FBtr0300625	FBpp0289852		E1JGR4
CG42496	FBgn0260222	FBtr0342958	FBpp0309729		E1JGR4
CAPER	FBgn0031883	FBtr0344710	FBpp0311043		X2J9R6
CAPER	FBgn0031883	FBtr0344708	FBpp0311041		X2JDG0
CAPER	FBgn0031883	FBtr0089640	FBpp0088583		Q9VM49
CAPER	FBgn0031883	FBtr0344711	FBpp0311044		X2J523
CAPER	FBgn0031883	FBtr0344712	FBpp0311045		X2J523
CAPER	FBgn0031883	FBtr0344709	FBpp0311042		X2JDG0
CAPER	FBgn0031883	FBtr0089636	FBpp0088579		Q9VM49
CG31140	FBgn0051140	FBtr0330371	FBpp0303397		A0A0B4KHZ4
CG31140	FBgn0051140	FBtr0084497	FBpp0083885		Q9VCF2
CG31140	FBgn0051140	FBtr0084498	FBpp0083886		Q7KS35
CG31140	FBgn0051140	FBtr0300963	FBpp0290185		Q95T86
CG31140	FBgn0051140	FBtr0300963	FBpp0290185		Q058V2
CG31140	FBgn0051140	FBtr0300963	FBpp0290185		Q7KS34
CG31140	FBgn0051140	FBtr0305041	FBpp0293578		A0A0B4K716
CG31140	FBgn0051140	FBtr0113392	FBpp0112304		A8JR94
CG31140	FBgn0051140	FBtr0113393	FBpp0112305		Q86PB4
CG5895	FBgn0036560	FBtr0333614	FBpp0305791		F2FB88
CG5895	FBgn0036560	FBtr0333614	FBpp0305791		E1JI10
CG5895	FBgn0036560	FBtr0075437	FBpp0075195		Q9VUX4
VHAAC39-2	FBgn0039058	FBtr0084401	FBpp0083793	Q9VCQ3
GLO	FBgn0259139	FBtr0089919	FBpp0088858		Q9VGH5
GLO	FBgn0259139	FBtr0089918	FBpp0088857		Q8INJ6
GLO	FBgn0259139	FBtr0089917	FBpp0088856		Q8IG99
GLO	FBgn0259139	FBtr0089917	FBpp0088856		Q9VGH5
PPK9	FBgn0085398	FBtr0344888	FBpp0311200		A0A0B4LG42
PPK9	FBgn0085398	FBtr0112594	FBpp0111506		Q9W2B5
LOQS	FBgn0032515	FBtr0342632	FBpp0309561		X2JAB1
LOQS	FBgn0032515	FBtr0100220	FBpp0099590		Q4TZM6
LOQS	FBgn0032515	FBtr0342633	FBpp0309562		Q9VJY9
LOQS	FBgn0032515	FBtr0342633	FBpp0309562		Q27IS6
LOQS	FBgn0032515	FBtr0342633	FBpp0309562		Q27IS7
LOQS	FBgn0032515	FBtr0342633	FBpp0309562		X2J5X6
LOQS	FBgn0032515	FBtr0303269	FBpp0292361		Q27IS6
LOQS	FBgn0032515	FBtr0303269	FBpp0292361		Q27IS7
LOQS	FBgn0032515	FBtr0303269	FBpp0292361		M9MRT5
LOQS	FBgn0032515	FBtr0080497	FBpp0080075		Q8IP72
LOQS	FBgn0032515	FBtr0080498	FBpp0080076		Q9VJY9
CG4658	FBgn0032170	FBtr0079887	FBpp0079483		Q9VL57
CG4658	FBgn0032170	FBtr0079885	FBpp0079481		Q9VL57
CG4658	FBgn0032170	FBtr0343738	FBpp0310304		Q9VL57
CG4658	FBgn0032170	FBtr0343739	FBpp0310305		X2J7M7
CG4658	FBgn0032170	FBtr0079886	FBpp0079482		Q9VL57
SC2	FBgn0035471	FBtr0073159	FBpp0073017		B6IDR5
SC2	FBgn0035471	FBtr0073159	FBpp0073017		Q95R45
SC2	FBgn0035471	FBtr0073159	FBpp0073017		Q9VZL3
CG10462	FBgn0032815	FBtr0331244	FBpp0303686		M9PD79
CG10462	FBgn0032815	FBtr0331243	FBpp0303685		M9PBE3
CG10462	FBgn0032815	FBtr0305952	FBpp0297094		M9PD79
CG10462	FBgn0032815	FBtr0305952	FBpp0297094		M9NEU8
CG10462	FBgn0032815	FBtr0100351	FBpp0099756		Q2PDT3
CG10462	FBgn0032815	FBtr0081325	FBpp0080857		Q2PDT3
CG10462	FBgn0032815	FBtr0081325	FBpp0080857		Q5BI61
CG10462	FBgn0032815	FBtr0081325	FBpp0080857		Q8T3K6
CG10462	FBgn0032815	FBtr0081325	FBpp0080857		Q9VIS7
CG10462	FBgn0032815	FBtr0100352	FBpp0099757		Q2PDT3
NP	FBgn0265011	FBtr0307883	FBpp0300317		A1Z7M3
NP	FBgn0265011	FBtr0112560	FBpp0111472		A1Z7M3
OAF	FBgn0011818	FBtr0077778	FBpp0077457		Q6NP33
OAF	FBgn0011818	FBtr0077778	FBpp0077457		A4V013
OAF	FBgn0011818	FBtr0077779	FBpp0077458		A4V013
OAF	FBgn0011818	FBtr0077777	FBpp0077456		A4V013
OAF	FBgn0011818	FBtr0077780	FBpp0077459	Q9NLA6
GM130	FBgn0034697	FBtr0071790	FBpp0071703		Q9NFP0
GM130	FBgn0034697	FBtr0071790	FBpp0071703		Q960J1
GM130	FBgn0034697	FBtr0071790	FBpp0071703		Q8IGK8
GM130	FBgn0034697	FBtr0071790	FBpp0071703		Q9W289
CG43075	FBgn0262485	FBtr0304838	FBpp0293378		F2FB70
CG43075	FBgn0262485	FBtr0304838	FBpp0293378		M9NF55
SLN	FBgn0033657	FBtr0088032	FBpp0087139		Q5U154
CG8607	FBgn0035760	FBtr0076837	FBpp0076548		G2J633
CG8607	FBgn0035760	FBtr0076837	FBpp0076548		Q8SZ27
CG8607	FBgn0035760	FBtr0076837	FBpp0076548		Q9VS44
CG6404	FBgn0027615	FBtr0076272	FBpp0076001		Q9Y171
CG6404	FBgn0027615	FBtr0076271	FBpp0076000		Q9Y171
IP3K2	FBgn0266375	FBtr0346134	FBpp0311962		Q9VYE7
IP3K2	FBgn0266375	FBtr0346133	FBpp0311961		Q95RU3
IP3K2	FBgn0266375	FBtr0346133	FBpp0311961		A0A0U2TSJ5
IP3K2	FBgn0266375	FBtr0346133	FBpp0311961		Q7KV26
IP3K2	FBgn0266375	FBtr0344171	FBpp0310585		Q9VYE6
IP3K2	FBgn0266375	FBtr0344170	FBpp0310584		Q8SXS8
IP3K2	FBgn0266375	FBtr0344170	FBpp0310584		Q9VYE6
IP3K2	FBgn0266375	FBtr0344169	FBpp0310583		B3DMX0
IP3K2	FBgn0266375	FBtr0344169	FBpp0310583		A0A0U2KHS7
IP3K2	FBgn0266375	FBtr0344169	FBpp0310583		A0A0U2TN36
IP3K2	FBgn0266375	FBtr0344169	FBpp0310583		Q9VYE7
IP3K2	FBgn0266375	FBtr0344168	FBpp0310582		Q9VYE7
MUC14A	FBgn0052580	FBtr0074205	FBpp0073985		A9YHX7
MUC14A	FBgn0052580	FBtr0074205	FBpp0073985		A9YHY0
MUC14A	FBgn0052580	FBtr0074205	FBpp0073985		A9YHY5
MUC14A	FBgn0052580	FBtr0074205	FBpp0073985		A9YHX8
MUC14A	FBgn0052580	FBtr0074205	FBpp0073985		A9YHX9
MUC14A	FBgn0052580	FBtr0074205	FBpp0073985		A9YHX6
MUC14A	FBgn0052580	FBtr0074205	FBpp0073985		F6J2W4
MUC14A	FBgn0052580	FBtr0074205	FBpp0073985		A9YHX4
MUC14A	FBgn0052580	FBtr0074205	FBpp0073985		A9YHX5
MUC14A	FBgn0052580	FBtr0074205	FBpp0073985		Q8IR22
CG9305	FBgn0032512	FBtr0342639	FBpp0309566		X2J875
CG9305	FBgn0032512	FBtr0080471	FBpp0080050		Q6NNW3
CG9305	FBgn0032512	FBtr0080471	FBpp0080050		Q9VJZ3
CG33768	FBgn0053768	FBtr0091769	FBpp0091030		Q4ABH8
CG44341	FBgn0265429	FBtr0339745	FBpp0308793		Q6IGK0
CG44341	FBgn0265429	FBtr0339745	FBpp0308793		A0A0B4LF84
CG14258	FBgn0039482	FBtr0085103	FBpp0084473		Q4QQ38
CG14258	FBgn0039482	FBtr0085103	FBpp0084473		Q9VB80
LBE	FBgn0011278	FBtr0084091	FBpp0083490		Q7JMT6
LBE	FBgn0011278	FBtr0084091	FBpp0083490		C0LRM1
LBE	FBgn0011278	FBtr0084091	FBpp0083490		Q9VDA1
LBE	FBgn0011278	FBtr0084091	FBpp0083490		C0LRL8
LBE	FBgn0011278	FBtr0084091	FBpp0083490		Q7KS77
AXUD1	FBgn0261647	FBtr0077763	FBpp0077443		Q9U4G5
AXUD1	FBgn0261647	FBtr0330666	FBpp0303516		Q9U4G5
AXUD1	FBgn0261647	FBtr0077762	FBpp0077442		Q9U4G5
AXUD1	FBgn0261647	FBtr0330665	FBpp0303515		Q9U4G5
TRIM9	FBgn0051721	FBtr0304114	FBpp0293057		M9MRI4
TRIM9	FBgn0051721	FBtr0080096	FBpp0079685		Q86P21
BLIMP-1	FBgn0035625	FBtr0345593	FBpp0311662		Q9VRN4
BLIMP-1	FBgn0035625	FBtr0077089	FBpp0076797		Q9VRN4
BLIMP-1	FBgn0035625	FBtr0331808	FBpp0304193		Q9VRN4
BLIMP-1	FBgn0035625	FBtr0331809	FBpp0304194		Q9VRN4
BLIMP-1	FBgn0035625	FBtr0331807	FBpp0304192		M9PBR0
BLIMP-1	FBgn0035625	FBtr0331806	FBpp0304191		M9PBR0
CG10139	FBgn0033951	FBtr0339980	FBpp0309001		A0A0B4LFE1
CG10139	FBgn0033951	FBtr0087433	FBpp0086563		Q7K5M2
TER94	FBgn0261014	FBtr0112906	FBpp0111819		Q8IGZ2
TER94	FBgn0261014	FBtr0088391	FBpp0087479	Q7KN62
TER94	FBgn0261014	FBtr0112905	FBpp0111818		D0IQG4
TER94	FBgn0261014	FBtr0343852	FBpp0310395		A0A0B4LFZ4
PGAP5	FBgn0031997	FBtr0079587	FBpp0079208
PGAP5	FBgn0031997	FBtr0079588	FBpp0079209	Q9VLR9
PGAP5	FBgn0031997	FBtr0335190	FBpp0307180
BEAT-IIA	FBgn0038498	FBtr0083453	FBpp0082894		Q9BMG9
BEAT-IIA	FBgn0038498	FBtr0339170	FBpp0308313		Q9BMG9
CG43799	FBgn0264343	FBtr0332003	FBpp0304325		M9PCT6
ARS2	FBgn0033062	FBtr0086018	FBpp0085354	Q9V9K7
ARS2	FBgn0033062	FBtr0086021	FBpp0085357	Q9V9K7
ARS2	FBgn0033062	FBtr0310666	FBpp0302786		A0A0B4KF41
ARS2	FBgn0033062	FBtr0310665	FBpp0302785		A0A0B4KEI5
ARS2	FBgn0033062	FBtr0310667	FBpp0302787		E8NHA7
ARS2	FBgn0033062	FBtr0086020	FBpp0085356	Q9V9K7
NSR	FBgn0034740	FBtr0071861	FBpp0071772		Q9W224
NSR	FBgn0034740	FBtr0345496	FBpp0311607		A8E737
NSR	FBgn0034740	FBtr0345496	FBpp0311607		Q9W224
DPY-30L2	FBgn0035491	FBtr0332981	FBpp0305197		Q9VZJ1
DPY-30L2	FBgn0035491	FBtr0073281	FBpp0073137		Q9VZJ1
CG13896	FBgn0035159	FBtr0331770	FBpp0304157		Q9W0N2
CG13896	FBgn0035159	FBtr0290220	FBpp0288659		Q9W0N2
CG13896	FBgn0035159	FBtr0072602	FBpp0072498		Q9W0N2
TKR86C	FBgn0004841	FBtr0112789	FBpp0111701		A0AVU4
TKR86C	FBgn0004841	FBtr0082315	FBpp0081791	P30974
GEMININ	FBgn0033081	FBtr0336665	FBpp0307646		Q7JX41
GEMININ	FBgn0033081	FBtr0086147	FBpp0085480		Q7JX41
MTP	FBgn0266369	FBtr0081439	FBpp0080968		Q961S9
MTP	FBgn0266369	FBtr0081439	FBpp0080968		Q9VIH3
CG3501	FBgn0034791	FBtr0071907	FBpp0071818	Q9W1Y1	Q86R94
SRA	FBgn0086370	FBtr0344473	FBpp0310844	Q9XZL8	A0A0B4LHI3
SRA	FBgn0086370	FBtr0083255	FBpp0082709	Q9XZL8	A0A0B4LHI3
TSP42EP	FBgn0033137	FBtr0089062	FBpp0088131		Q8SY31
TSP42EP	FBgn0033137	FBtr0089062	FBpp0088131		A1Z6U7
TSP42EP	FBgn0033137	FBtr0336874	FBpp0307823		A1Z6U7
ATP8B	FBgn0037989	FBtr0339645	FBpp0308707		A0A0B4K756
ATP8B	FBgn0037989	FBtr0300351	FBpp0289580		Q3ZAM1
ATP8B	FBgn0037989	FBtr0300351	FBpp0289580		Q9VGD4
ATP8B	FBgn0037989	FBtr0339646	FBpp0308708		A0A0B4LH79
ATP8B	FBgn0037989	FBtr0307016	FBpp0297859		A0A0B4K669
ATP8B	FBgn0037989	FBtr0339644	FBpp0308706		A0A0B4LH21
ATP8B	FBgn0037989	FBtr0339643	FBpp0308705		A0A0B4LH22
ATP8B	FBgn0037989	FBtr0307015	FBpp0297858		A0A0B4K638
7B2	FBgn0041707	FBtr0301640	FBpp0100150		Q9N9Z7
7B2	FBgn0041707	FBtr0301640	FBpp0100150		E4NKI5
7B2	FBgn0041707	FBtr0301640	FBpp0100150		Q59E04
7B2	FBgn0041707	FBtr0078789	FBpp0078435		Q9VNB0
SNCF	FBgn0036349	FBtr0075840	FBpp0075576		Q9VU59
CG33631	FBgn0053631	FBtr0091608	FBpp0090980		Q4AB37
CG7408	FBgn0036765	FBtr0300281	FBpp0289509		Q9VVM1
CG7408	FBgn0036765	FBtr0075142	FBpp0074908		Q8MS40
CG7408	FBgn0036765	FBtr0075142	FBpp0074908		Q9VVM1
CG7408	FBgn0036765	FBtr0300282	FBpp0289510		Q9VVM1
CG9706	FBgn0036662	FBtr0075327	FBpp0075086		Q9VVA1
CG9706	FBgn0036662	FBtr0075326	FBpp0075085		Q95TG1
CG9706	FBgn0036662	FBtr0075326	FBpp0075085		Q9VVA1
PKC53E	FBgn0003091	FBtr0305069	FBpp0293606		D3DMK5
PKC53E	FBgn0003091	FBtr0112819	FBpp0111731		A8DYG9
PKC53E	FBgn0003091	FBtr0305070	FBpp0293607		A8DYG9
PKC53E	FBgn0003091	FBtr0087048	FBpp0086197	P05130
PKC53E	FBgn0003091	FBtr0087049	FBpp0086198		G8HS56
