Gene name	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene stable ID
KIR2DL3	3804	P43628	E3NZD8	ENSG00000276590
INTS3	65123		H0Y8Z1	ENSG00000262826
KIR3DL2	3812		A0A0G2JLM7	ENSG00000278850
INTS3	65123		A0A096LPB9	ENSG00000262826
FCAR	2204	P24071	A0A024R4M5	ENSG00000276985
KIR3DL3	115653		A0A0G2JNR7	ENSG00000273502
FCAR	2204	P24071	A0A024R4M5	ENSG00000273738
KIR3DS1	3813		A0A0G2JMV4	ENSG00000275608
KIR2DL5B	553128		A0A0G2JPC4	ENSG00000274707
KIR3DL3	115653		A0A0G2JPI1	ENSG00000273502
KIR3DL3	115653		A0A0C4ZQX3	ENSG00000276806
KIR2DL3	3804	P43628	E3NZD8	ENSG00000276218
KIR2DL4	3805	Q99706		ENSG00000278430
KIR2DL4	3805		A0A0G2JPS9	ENSG00000278430
KIR2DL4	3805	Q99706		ENSG00000274955
KIR2DL3	3804	P43628	E3NZD8	ENSG00000278327
KIR3DL2	3812		A0A0G2JLU7	ENSG00000278726
KIR2DL4	3805		A0A0G2JLM0	ENSG00000278430
KIR3DS1	3813		O43469	ENSG00000276498
KIR2DL4	3805		A0A0G2JPS9	ENSG00000274955
KIR3DL2	3812		A0A0G2JN45	ENSG00000278726
GATAD2B	57459	Q8WXI9		ENSG00000261992
KIR2DL4	3805		A0A0G2JLM4	ENSG00000274955
FCAR	2204	P24071	A0A024R4N4	ENSG00000276985
KIR3DS1	3813		A0A0G2JMV4	ENSG00000276498
KIR2DL4	3805		Q86U48	ENSG00000274193
KIR2DL1	3802		Q6H2H3	ENSG00000275750
FCAR	2204	P24071	A0A024R4N4	ENSG00000273738
KIR3DL3	115653		A0A0G2JLZ2	ENSG00000274556
KIR3DL2	3812		Q8NHK6	ENSG00000278710
KIR2DL4	3805		A0A0G2JNE8	ENSG00000274193
KIR3DL2	3812		A0A0G2JLX7	ENSG00000278710
KIR2DS1	3806		A0A7D4Y6C7	ENSG00000273517
KIR2DL3	3804	P43628	E3NZD8	ENSG00000274108
KIR3DL1	3811		Q8N152	ENSG00000274920
FCAR	2204	P24071		ENSG00000275970
KIR3DL1	3811		Q8N152	ENSG00000274146
FCAR	2204	P24071	A0A024R4R4	ENSG00000276985
	100288966			ENSG00000277630
KIR3DL1	3811		A0A0G2JN47	ENSG00000274920
FCAR	2204	P24071	A0A024R4R4	ENSG00000273738
KIR2DS3	3808		K7QT50	ENSG00000277657
KIR3DL1	3811		A0A0G2JN47	ENSG00000274146
KIR2DL5B	553128	Q8NHK3	A0A330IXA5	ENSG00000275937
KIR2DS2	100132285	P43631	K7R1S5	ENSG00000277885
SLC27A3	11000		X6R3N0	ENSG00000263163
KIR2DL2	3803	P43627	A0A0C4ZN23	ENSG00000276011
SLC27A3	11000	Q5K4L6		ENSG00000263163
KIR3DL1	3811		Q6H2G1	ENSG00000273518
FCAR	2204	P24071		ENSG00000275269
KIR2DL4	3805	Q99706		ENSG00000277362
FCAR	2204	P24071	A0A024R4M5	ENSG00000275970
KIR3DL1	3811		A0A0G2JM22	ENSG00000273518
SLC27A3	11000		H7BZH4	ENSG00000263163
KIR3DL2	3812	P43630		ENSG00000278474
SLC27A3	11000		H0YDM5	ENSG00000263163
KIR2DS4	3809	P43632	A0A0C4ZN05	ENSG00000276395
SLC27A3	11000		H0YDP0	ENSG00000263163
KIR3DL2	3812		A0A0G2JMS0	ENSG00000278474
KIR3DL3	115653		A0A0G2JP03	ENSG00000277596
KIR2DL1	3802		Q6H2H3	ENSG00000278821
KIR2DL1	3802	P43626		ENSG00000278821
FCAR	2204	P24071		ENSG00000275136
KIR2DL2	3803		Q8N742	ENSG00000277251
			Q9H3A6	ENSG00000269823
KIR2DS5	3810		A0A0G2JNG1	ENSG00000274563
FCAR	2204	P24071	A0A024R4M5	ENSG00000275269
KIR2DL1	3802		Q6H2H3	ENSG00000277356
KIR2DL1	3802	P43626		ENSG00000273794
KIR2DL1	3802		A0A0G2JQ05	ENSG00000273794
FCAR	2204	P24071	A0A024R4N4	ENSG00000275970
KIR3DL3	115653		A0A0C4ZR07	ENSG00000275513
KIR3DL2	3812	P43630		ENSG00000278442
KIR2DL4	3805		Q86U48	ENSG00000273498
KIR3DL2	3812		A0A0G2JP93	ENSG00000278758
KIR2DS2	100132285		K7R1S5	ENSG00000274438
KIR3DL2	3812		A0A0G2JMS0	ENSG00000278442
KIR2DL4	3805		A0A0G2JNE8	ENSG00000273498
KIR3DL2	3812		A0A0G2JM36	ENSG00000278758
FCAR	2204	P24071	A0A024R4M5	ENSG00000275136
KIR3DL3	115653		A0A0G2JM09	ENSG00000278490
KIR3DL3	115653		A0A0C4ZR07	ENSG00000277552
			A0A0G2JN09	ENSG00000278277
FCAR	2204	P24071	A0A024R4R4	ENSG00000275970
KIR2DL2	3803		Q8N742	ENSG00000278692
ZNF43	7594		A0A0G2JQ90	ENSG00000279566
KIR2DS2	100132285		K7R1S5	ENSG00000275735
FCAR	2204	P24071	A0A024R4N4	ENSG00000275269
OR9G4	283189	Q8NGQ1		ENSG00000262647
OR5G3				ENSG00000281107
PPIAL4F	728945		A0A0H2UH34	ENSG00000275974
KIR2DL1	3802		Q6H2H3	ENSG00000276310
NCR1	9437		A0A0G2JM44	ENSG00000278025
ZNF100	163227	Q8IYN0		ENSG00000274746
NCR1	9437		A0A0G2JNH1	ENSG00000278025
ZNF100	163227		A0A0A0MTN5	ENSG00000274746
ZNF100	163227		M0R0Q1	ENSG00000274746
ZNF100	163227		M0R071	ENSG00000274746
FCAR	2204	P24071	A0A024R4R4	ENSG00000275269
NCR1	9437		A0A0G2JMJ3	ENSG00000278025
OR9G1	390174			ENSG00000261958
NCR1	9437		A0A0G2JN63	ENSG00000278025
OR9G9	504191		A0A126GVB8	ENSG00000262191
DNAH10	196385		A0A0J9YY17	ENSG00000281935
FCAR	2204	P24071	A0A024R4N4	ENSG00000275136
KIR2DL4	3805		K7RE46	ENSG00000278606
KIR3DL2	3812		A0A0G2JLZ4	ENSG00000275262
DNAH10	196385		F5H515	ENSG00000281935
DNAH10	196385		H0YGZ2	ENSG00000281935
KIR3DL2	3812		A0A0G2JP67	ENSG00000275262
KIR2DL4	3805		A0A0G2JMQ9	ENSG00000278606
KIR3DL3	115653		A0A0G2JNI5	ENSG00000274786
KIR2DL4	3805		A0A0G2JNI1	ENSG00000278606
KIR2DS4	3809	P43632	A0A0C4ZN05	ENSG00000274947
DNAH10	196385		A0A0J9YWH2	ENSG00000281935
FCAR	2204	P24071	A0A024R4R4	ENSG00000275136
KIR2DL4	3805	Q99706		ENSG00000277750
KIR2DL3	3804	P43628	E3NZD8	ENSG00000276459
KIR2DS4	3809			ENSG00000276465
KIR2DL4	3805		A0A0G2JN69	ENSG00000278606
KIR3DL2	3812	P43630		ENSG00000278361
KIR3DL2	3812		A0A0G2JMS0	ENSG00000278361
KRTAP9-9	81870			ENSG00000267728
KRTAP9-2	83899	Q9BYQ4		ENSG00000263090
KRTAP9-4	85280	Q9BYQ2		ENSG00000262512
KRTAP9-3	83900	Q9BYQ3		ENSG00000262749
	100507608		A0A140TA67	ENSG00000267635
KRTAP29-1	100533177	A8MX34		ENSG00000262218
KIR3DL2	3812		Q8NHK6	ENSG00000275629
CCDC92	80212	Q53HC0		ENSG00000275035
DHX36			A0A0G2JRP3	ENSG00000281763
KIR3DL2	3812		A0A0G2JLX7	ENSG00000275629
KCNQ2	3785		A0A0G2JS89	ENSG00000281151
KIR2DL4	3805		A0A0G2JP28	ENSG00000277850
CCDC92	80212		F5H285	ENSG00000275035
CCDC92	80212		F5H2Z7	ENSG00000275035
KIR3DL1	3811		Q6H2G3	ENSG00000278079
CCDC92	80212		F5H7P8	ENSG00000275035
CCDC92	80212		A0A0J9YWX2	ENSG00000275035
KIR2DL4	3805		A0A0G2JNZ6	ENSG00000277850
KIR2DL4	3805		A0A0G2JPS9	ENSG00000277850
DHX36			A0A0G2JQU7	ENSG00000281763
KIR2DL4	3805		A0A0G2JQ13	ENSG00000277850
KIR3DL3	115653		A0A0C4ZQX3	ENSG00000277392
KIR3DL1	3811		A0A0G2JM66	ENSG00000278079
DHX36				ENSG00000281763
KIR2DL4	3805		A0A0G2JMV5	ENSG00000277076
KIR2DL1	3802		Q6H2H3	ENSG00000278248
KIR3DL3	115653		A0A0C4ZQX3	ENSG00000276084
			A0A0G2JMS6	ENSG00000275428
KIR3DS1	3813		O43469	ENSG00000274465
KIR2DL4	3805		A0A0C4ZNX8	ENSG00000277850
KIR2DS4	3809			ENSG00000275351
ARHGEF26	26084	Q96DR7		ENSG00000277101
KIR2DS4	3809	P43632	A0A0C4ZN05	ENSG00000275353
DLG5	9231		A0A0A0MSL1	ENSG00000274429
KIR3DL1	3811		C4N360	ENSG00000278427
KIR3DS1	3813		A0A0G2JMV4	ENSG00000274465
KIR3DL1	3811		A0A0G2JNU1	ENSG00000278427
KIR2DS2	100132285		K7R1S5	ENSG00000275253
ZNF430	80264		A0A0G2JNR8	ENSG00000278780
FTCD	10841		A0A0G2JQF2	ENSG00000281775
KCNQ2	3785		A0A0G2JR98	ENSG00000281151
NCR1	9437		A0A0G2JM44	ENSG00000277442
NCR1	9437		A0A0G2JNH1	ENSG00000277442
ZNF430	80264		M0QXG3	ENSG00000278780
ZNF430	80264		A0A0G2JRS6	ENSG00000278780
NCR1	9437		A0A0G2JMJ3	ENSG00000277442
SINHCAF	58516	Q9NP50		ENSG00000276371
KIR2DL4	3805		K7QUT1	ENSG00000277076
KIR2DL4	3805		A0A0G2JPN7	ENSG00000277076
KIR2DL4	3805		A0A0G2JMF5	ENSG00000277076
KIR2DL4	3805		A0A0G2JPE3	ENSG00000277076
	102724788			ENSG00000277196
ZNF85	7639		M0R0V3	ENSG00000278091
KIR3DL3	115653		A0A0C4ZNX4	ENSG00000277028
ZNF85	7639		M0R0J7	ENSG00000278091
SBNO2	22904	Q9Y2G9		ENSG00000278788
SINHCAF	58516		H0YGG0	ENSG00000276371
	102724770		X5D7D2	ENSG00000278817
SINHCAF	58516		F5GZ82	ENSG00000276371
				ENSG00000276017
SINHCAF	58516		F5H6U2	ENSG00000276371
ARHGEF26	26084	Q96DR7	A0A140VJU4	ENSG00000277101
SBNO2	22904		K7ES28	ENSG00000278788
KCNQ2	3785		A0A0G2JSD3	ENSG00000281151
KCNQ2	3785		A0A0G2JRU6	ENSG00000281151
ZNF85	7639	Q03923		ENSG00000278091
KCNQ2	3785		A0A0G2JRN9	ENSG00000281151
KCNQ2	3785		A0A0G2JR54	ENSG00000281151
KCNQ2	3785		A0A0G2JQG6	ENSG00000281151
ZNF85	7639		M0QXL2	ENSG00000278091
KCNQ2	3785		A0A0G2JQC9	ENSG00000281151
ZNF85	7639		M0QZ75	ENSG00000278091
DSEL	92126	Q8IZU8		ENSG00000262102
ZNF85	7639		M0QZN6	ENSG00000278091
SNTG2	54221		A0A0G2JS85	ENSG00000281020
ZNF85	7639		Q96HE0	ENSG00000278091
SBNO2	22904		K7ENA9	ENSG00000278788
ZNF85	7639		Q49A12	ENSG00000278091
SBNO2	22904		K7ERL2	ENSG00000278788
KCNQ2	3785		A0A0G2JR60	ENSG00000281151
KCNQ2	3785		A0A0D9SFE0	ENSG00000281151
ZNF66	7617		I3L137	ENSG00000275050
KIR2DL1	3802		Q6H2H3	ENSG00000277833
KIR2DL1	3802	P43626		ENSG00000277833
ZNF66	7617		A0A0G2JQ71	ENSG00000275050
ZNF66	7617		A0A0G2JMG9	ENSG00000275050
ADI1			A0A0G2JQN5	ENSG00000280830
KIR2DL2	3803		A0A0C4ZN23	ENSG00000275546
GARRE1	9710		A0A0G2JQ76	ENSG00000279389
KIR3DL2	3812	P43630		ENSG00000275416
GARRE1	9710		A0A0G2JQ84	ENSG00000279389
GARRE1	9710		K7EPA0	ENSG00000279389
KIR3DL2	3812	P43630		ENSG00000276357
KIR3DL2	3812		A0A0G2JMS0	ENSG00000275416
KIR2DS4	3809			ENSG00000276209
HS3ST6	64711	Q96QI5		ENSG00000276333
KIR2DL3	3804	P43628	E3NZD8	ENSG00000274402
KIR3DL2	3812		A0A0G2JMS0	ENSG00000276357
AP2A2	161		E9PPY8	ENSG00000280759
TRAPPC12	51112		Q53QD4	ENSG00000274891
KIR3DL2	3812		A0A0G2JP93	ENSG00000276882
KIR3DL2	3812		A0A0G2JM36	ENSG00000276882
TRAPPC12	51112		A0A0G2JQW1	ENSG00000274891
DLG5	9231	Q8TDM6		ENSG00000274429
AP2A2	161		E9PS94	ENSG00000280759
AP2A2	161		E9PPZ3	ENSG00000280759
KIR2DL5A	57292		B0L652	ENSG00000278116
LSS	4047		A0A0G2JQD0	ENSG00000281289
DLG5	9231		A0A0J9YYG8	ENSG00000274429
AP2A2	161		E9PQP4	ENSG00000280759
KRTAP9-2	83899		A0A140TA58	ENSG00000262573
AP2A2	161		A0A0G2JS17	ENSG00000280759
TRAPPC12	51112		A0A0J9YXQ9	ENSG00000274891
KRTAP9-4	85280	Q9BYQ2		ENSG00000262896
			K7RE56	ENSG00000275500
AP2A2	161		A0A0G2JQT9	ENSG00000280759
KRTAP9-6	100507608	A8MVA2		ENSG00000263263
KIR3DL1	3811		C4N360	ENSG00000277175
KRTAP9-7	100505724	A8MTY7		ENSG00000262221
DLG5	9231		R4GMQ2	ENSG00000274429
KRTAP29-1	100533177	A8MX34		ENSG00000262542
NCR1	9437		A0A0G2JM44	ENSG00000275637
LSS	4047		H7C3A5	ENSG00000281289
TPO	7173		E9PFM6	ENSG00000277603
KIR2DS1	3806	Q14954	A0A7D4Y6C7	ENSG00000276327
KRTAP9-9	81870	Q9BYP9		ENSG00000262594
KIR2DL1	3802	P43626		ENSG00000278495
ABCB11	8647		Q53S60	ENSG00000276582
KIR3DL2	3812	P43630	A0A0U1WNF3	ENSG00000278809
KIR3DL2	3812	P43630		ENSG00000275626
NCR1	9437		A0A0G2JNH1	ENSG00000275637
KIR2DL1	3802		A0A0G2JQ05	ENSG00000278495
KIR3DL1	3811		A0A0G2JNU1	ENSG00000277175
KIR3DL2	3812	P43630		ENSG00000278809
NCR1	9437		A0A0G2JMJ3	ENSG00000275637
KIR3DL2	3812		A0A0G2JMS0	ENSG00000275626
NCR1	9437		A0A0G2JN63	ENSG00000275637
LSS	4047		A0A0G2JS81	ENSG00000281289
PROP1	5626		A0A0G2JRP7	ENSG00000280635
SNTG2	54221		A0A0G2JR78	ENSG00000281486
SPATC1L	84221	Q9H0A9		ENSG00000274679
PROP1	5626		A0A0G2JQ02	ENSG00000274382
SEPTIN9	10801		A0A0J9YWJ2	ENSG00000282302
LSM14A	26065	Q8ND56		ENSG00000262860
PIWIL1	9271	Q96J94	A0A024RBS5	ENSG00000275051
LSM14A	26065		I3L4Q1	ENSG00000262860
SEPTIN9	10801			ENSG00000282302
SEPTIN9	10801		K7EMW8	ENSG00000282302
PIWIL1	9271	Q96J94		ENSG00000275051
G6PC2	57818	Q9NQR9		ENSG00000278373
PIWIL1	9271		F5H889	ENSG00000275051
LSM14A	26065		A0A140TA76	ENSG00000262860
AP2A2	161		A0A0G2JQM1	ENSG00000280759
PIWIL1	9271		F5GYG0	ENSG00000275051
PIWIL1	9271		F5H3U6	ENSG00000275051
AP2A2	161		A0A0G2JQA4	ENSG00000280759
PIWIL1	9271		F5GZL9	ENSG00000275051
LSM14A	26065		A0A0G2JQ95	ENSG00000262860
PIWIL1	9271		F5H2F7	ENSG00000275051
RPS17	6218	P08708		ENSG00000278229
LSM14A	26065		A0A140TA66	ENSG00000262860
G6PC2	57818		C9IYU7	ENSG00000278373
KIR3DL1	3811		Q8NHK7	ENSG00000278368
AP2A2	161		A0A0G2JS82	ENSG00000280759
KIR3DL3	115653	Q8N743	A0A7D4XVW4	ENSG00000274639
AP2A2	161		A0A0G2JRS3	ENSG00000280759
	389831			ENSG00000276256
RPS17	6218		H0YN88	ENSG00000278229
RPS17	6218		H0YN73	ENSG00000278229
KIR2DS4	3809	P43632	A0A0C4ZN05	ENSG00000276154
KIR3DL1	3811		A0A0G2JPV6	ENSG00000278368
SLC45A2	51151		A0A0G2JSD6	ENSG00000281919
SLC45A2	51151		A0A0G2JQI6	ENSG00000281919
SLC45A2	51151		A0A0G2JSC7	ENSG00000281919
SLC45A2	51151		A0A0G2JQN1	ENSG00000281919
TUBGCP5	114791		A0A0G2JQW0	ENSG00000280807
TUBGCP5	114791		A0A0G2JQK7	ENSG00000280807
RXFP3	51289	Q9NSD7		ENSG00000277069
KIR3DL3	115653		A0A0G2JPB3	ENSG00000274763
SPC25	57405	Q9HBM1		ENSG00000277909
ADAMTS12	81792		A0A0G2JRM9	ENSG00000281690
SPC25	57405		C9JW94	ENSG00000277909
GOLGA6L10	643707		A0A0J9YW09	ENSG00000274166
KIR2DL3	3804	P43628	E3NZD8	ENSG00000275623
GOLGA6L10	643707		A0A0G2JM30	ENSG00000274166
TUBGCP5	114791		A0A0G2JR45	ENSG00000280807
KIR2DL1	3802		Q6H2H3	ENSG00000276625
KIR2DL1	3802	P43626		ENSG00000276625
PRB1			A0A0G2JR74	ENSG00000275517
KIR3DL2	3812		Q9BQU0	ENSG00000278656
