Gene stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene name
WBGene00000059	187632		B1Q281	acr-20
WBGene00000060	185004		A0A3P6P985	acr-21
WBGene00000060	185004		A0A3P6NP92	acr-21
WBGene00000060	185004		A0A3P6MY71	acr-21
WBGene00000060	185004		A0A3P6N6F5	acr-21
WBGene00000061	181009		G5EGR1	lgc-11
WBGene00000062	191606	G5EG88		acr-23
WBGene00000062	191606		A0A168H5T6	acr-23
WBGene00000063	179535	P0DM41		act-1
WBGene00000064	179534	P10984		act-2
WBGene00000065	179533	P0DM42		act-3
WBGene00000065	179533	P0DM42		act-3
WBGene00000065	179533	P0DM42		act-3
WBGene00000066	180767	P10986		act-4
WBGene00000066	180767		Q95ZL1	act-4
WBGene00000067	176793		O45815	act-5
WBGene00000068	175622		Q19523	acy-1
WBGene00000069	191607		O16880	acy-2
WBGene00000070	175489		G5EE33	acy-3
WBGene00000071	178949		Q966F9	acy-4
WBGene00000072	180760	Q9U9K0		add-1
WBGene00000072	180760	Q9U9K0		add-1
WBGene00000072	180760	Q9U9K0		add-1
WBGene00000072	180760	Q9U9K0		add-1
WBGene00000072	180760		G8JYB0	add-1
WBGene00000073	179647	Q20952		add-2
WBGene00000073	179647		Q1ZXU2	add-2
WBGene00000074	181489		G5EDW5	adm-2
WBGene00000074	181489		A0A3B1E9Z5	adm-2
WBGene00000075	181041	Q94316		adm-4
WBGene00000079	172542	Q9U3D6		adr-1
WBGene00000079	172542	Q9U3D6		adr-1
WBGene00000079	172542	Q9U3D6		adr-1
WBGene00000079	172542	Q9U3D6		adr-1
WBGene00000079	172542	Q9U3D6		adr-1
WBGene00000080	176022	Q22618		adr-2
WBGene00000081	175192	O45218		ads-1
WBGene00000082	181412	G5ECS8		adt-1
WBGene00000082	181412		Q22580	adt-1
WBGene00000083	181022	Q19204		adt-2
WBGene00000083	181022		Q7Z292	adt-2
WBGene00000083	181022		Q7Z291	adt-2
WBGene00000084	172519	G5EEU3		aex-1
WBGene00000084	172519		G5ECE1	aex-1
WBGene00000085	188491	G5ECD9		aex-2
WBGene00000086	180420	O02626		aex-3
WBGene00000086	180420	O02626		aex-3
WBGene00000088	173358	P91863		aex-5
WBGene00000089	173223		G5EBS5	aex-6
WBGene00000090	174762	Q94125		age-1
WBGene00000090	174762	Q94125		age-1
WBGene00000092	180801		Q19955	ags-3
WBGene00000092	180801		Q19955	ags-3
WBGene00000092	180801		A0A131MD77	ags-3
WBGene00000092	180801		A0A131MBW5	ags-3
WBGene00000092	180801		A0A131MBC1	ags-3
WBGene00000092	180801		A0A131MBC1	ags-3
WBGene00000092	180801		A0A131MBC1	ags-3
WBGene00000092	180801		A0A131MBC1	ags-3
WBGene00000092	180801		A0A131MBC1	ags-3
WBGene00000092	180801		A0A131MBA1	ags-3
WBGene00000093	190454		Q9U1Y0	agt-1
WBGene00000093	190454		Q2HQK2	agt-1
WBGene00000094	184244		Q19263	agt-2
WBGene00000095	172889	O02219		aha-1
WBGene00000096	172788	O44712		ahr-1
WBGene00000096	172788	O44712		ahr-1
WBGene00000097	179898		Q9XUW8	aip-1
WBGene00000098	179202		G5EDL3	air-1
WBGene00000099	172268	O01427		air-2
WBGene00000099	172268	O01427		air-2
WBGene00000100	181148	A0A1C3NSL9		ajm-1
WBGene00000100	181148	A0A1C3NSL9		ajm-1
WBGene00000100	181148	A0A1C3NSL9		ajm-1
WBGene00000100	181148	A0A1C3NSL9		ajm-1
WBGene00000100	181148		H2KYC5	ajm-1
WBGene00000100	181148		Q95ZY7	ajm-1
WBGene00000100	181148	A0A1C3NSL9		ajm-1
WBGene00000100	181148	A0A1C3NSL9		ajm-1
WBGene00000100	181148	A0A1C3NSL9		ajm-1
WBGene00000100	181148	A0A1C3NSL9		ajm-1
WBGene00000100	181148	A0A1C3NSL9		ajm-1
WBGene00000100	181148	A0A1C3NSL9		ajm-1
WBGene00000100	181148	A0A1C3NSL9		ajm-1
WBGene00000100	181148	A0A1C3NSL9		ajm-1
WBGene00000100	181148	A0A1C3NSL9		ajm-1
WBGene00000100	181148	A0A1C3NSL9		ajm-1
WBGene00000101	174216		Q18930	aka-1
WBGene00000101	174216		H2KZI9	aka-1
WBGene00000101	174216		Q8MQ92	aka-1
WBGene00000102	179424	Q17941		akt-1
WBGene00000102	179424	Q17941		akt-1
WBGene00000102	179424	Q17941		akt-1
WBGene00000103	181524	Q9XTG7		akt-2
WBGene00000103	181524	Q9XTG7		akt-2
WBGene00000105	181504		G5EGR6	alg-1
WBGene00000105	181504		G5EGR6	alg-1
WBGene00000105	181504		G5EGR6	alg-1
WBGene00000105	181504		G5EES3	alg-1
WBGene00000106	173468		O16720	alg-2
WBGene00000106	173468		Q86B39	alg-2
WBGene00000107	175691		Q20780	alh-1
WBGene00000107	175691		Q8IG19	alh-1
WBGene00000107	175691		Q8IG19	alh-1
WBGene00000108	187001		Q9TXM0	alh-2
WBGene00000109	177999		G5ECV9	alh-3
WBGene00000110	179026		O16518	alh-4
WBGene00000110	179026		Q8MXJ7	alh-4
WBGene00000110	179026		Q86S57	alh-4
WBGene00000110	179026		A0A486WWU7	alh-4
WBGene00000111	178680		O44555	alh-5
WBGene00000112	173510		G5EC31	alh-6
WBGene00000112	173510		G5EC31	alh-6
WBGene00000112	173510		Q86N72	alh-6
WBGene00000112	173510		Q6A593	alh-6
WBGene00000112	173510		G4RZC3	alh-6
WBGene00000113	174991		O02266	alh-7
WBGene00000113	174991		G3MU66	alh-7
WBGene00000114	174800	P52713		alh-8
WBGene00000114	174800		Q7JMI1	alh-8
WBGene00000115	175820	P46562		alh-9
WBGene00000115	175820	P46562		alh-9
WBGene00000116	180979		Q18822	alh-10
WBGene00000117	185679		Q20352	alh-11
WBGene00000117	185679		Q8MNS6	alh-11
WBGene00000117	185679		Q8MNS6	alh-11
WBGene00000118	176056		Q7Z1Q3	alh-12
WBGene00000118	176056		Q7Z1Q2	alh-12
WBGene00000120	177735		Q17561	aly-1
WBGene00000121	177738		O62183	aly-2
WBGene00000122	178157		Q21559	aly-3
WBGene00000123	177190	P16356		ama-1
WBGene00000133	180729	P54145		amt-1
WBGene00000134	186047	Q20605		amt-2
WBGene00000135	174338	Q21565		amt-3
WBGene00000136	180728		Q17663	amt-4
WBGene00000137	175493	Q21988		amx-1
WBGene00000138	173146		Q9XXU5	amx-2
WBGene00000139	184919		E0AHD3	amx-3
WBGene00000139	184919		E0AHD4	amx-3
WBGene00000140	172034	Q9N4M4		anc-1
WBGene00000140	172034		A0A2C9C2Z1	anc-1
WBGene00000140	172034		A0A2C9C3A7	anc-1
WBGene00000142	179409	Q17820		aos-1
WBGene00000143	176139	P34514		apc-2
WBGene00000144	179454	H2L2B8		apc-10
WBGene00000144	179454	H2L2B8		apc-10
WBGene00000144	179454	H2L2B8		apc-10
WBGene00000144	179454	H2L2B8		apc-10
WBGene00000145	175604	Q20052		apc-11
WBGene00000146	179601	Q9XVN3		ape-1
WBGene00000146	179601	Q9XVN3		ape-1
WBGene00000146	179601	Q9XVN3		ape-1
WBGene00000146	179601	Q9XVN3		ape-1
WBGene00000147	172747	O45876		aph-1
WBGene00000148	172905		A5Z2T7	aph-2
WBGene00000148	172905	Q23316		aph-2
WBGene00000149	180783	Q10651		apl-1
WBGene00000149	180783	Q10651		apl-1
WBGene00000150	172180		O01755	apm-1
WBGene00000151	174291	Q10002		apn-1
WBGene00000155	172118	O44750		app-1
WBGene00000156	172591	Q21227		apr-1
WBGene00000156	172591	Q21227		apr-1
WBGene00000156	172591		A0A1I6CM53	apr-1
WBGene00000157	184091		Q19123	aps-2
WBGene00000158	173304		Q8WQB3	apg-1
WBGene00000159	178989		O16369	aps-1
WBGene00000160	175376		Q9N4F3	apb-1
WBGene00000161	181163		Q22601	apa-2
WBGene00000162	173701		O16637	apd-3
WBGene00000162	173701		Q95X88	apd-3
WBGene00000163	172553		O45718	apb-3
WBGene00000163	172553		O62348	apb-3
WBGene00000164	186194		Q20736	apm-3
WBGene00000165	171691		Q8T874	aps-3
WBGene00000166	189194		Q23165	apt-9
WBGene00000168	178759	P41990		apx-1
WBGene00000168	178759		A0A0S4XRY4	apx-1
WBGene00000168	178759		A0A486WTV8	apx-1
WBGene00000169	174190		Q19949	aqp-1
WBGene00000169	174190		Q8IG23	aqp-1
WBGene00000170	174467		Q17571	aqp-2
WBGene00000170	174467		Q7JMQ6	aqp-2
WBGene00000170	174467		Q7JMQ6	aqp-2
WBGene00000171	190553		Q9XW36	aqp-3
WBGene00000171	190553		A0A061ADS9	aqp-3
WBGene00000171	190553		A0A131MBS2	aqp-3
WBGene00000172	179366		G5EEK0	aqp-4
WBGene00000173	183221		Q18469	aqp-5
WBGene00000174	183121		Q18352	aqp-6
WBGene00000174	183121		D5MCS1	aqp-6
WBGene00000174	183121		H2FLH4	aqp-6
WBGene00000175	180589		Q21473	aqp-7
WBGene00000175	180589		Q21473	aqp-7
WBGene00000175	180589		A0A6V7QYI0	aqp-7
WBGene00000176	180744		Q7Z138	aqp-8
WBGene00000176	180744		Q7Z137	aqp-8
WBGene00000176	180744		Q7Z137	aqp-8
WBGene00000176	180744		A0A2K5AU20	aqp-8
WBGene00000176	180744		A0A2K5AU16	aqp-8
WBGene00000177	3565336		Q7JL16	aqp-9
WBGene00000177	3565336		Q7JL16	aqp-9
WBGene00000177	3565336		E5QCH4	aqp-9
WBGene00000178	174537	Q09369		aqp-10
WBGene00000179	191343		O46024	aqp-11
WBGene00000180	174525	Q09654		arc-1
WBGene00000181	178016		Q19102	ard-1
WBGene00000181	178016		A0A061AD09	ard-1
WBGene00000182	175801	Q10943		arf-1
WBGene00000182	175801	Q10943		arf-1
WBGene00000183	177595		G5EFK4	arf-5
WBGene00000184	191608		Q9U2S4	arf-6
WBGene00000185	180501		H2KYS0	arg-1
WBGene00000186	178218	G5EBZ8		ark-1
WBGene00000186	178218	G5EBZ8		ark-1
WBGene00000187	174375	Q20758		arl-1
WBGene00000188	175121	O45379		arl-3
WBGene00000189	176392	P34212		arl-5
WBGene00000190	191609	Q94231		warf-1
WBGene00000192	178405		G5EDC6	arl-8
WBGene00000193	183311	Q18510		arl-6
WBGene00000195	180446	P51485		arr-1
WBGene00000196	174749	Q23122		aars-1
WBGene00000197	171985	O01541		aars-2
WBGene00000197	171985	O01541		aars-2
WBGene00000198	174140	Q9N5Y2		art-1
WBGene00000199	171857	Q9N4I0		arx-1
WBGene00000200	179440	P53489		arx-2
WBGene00000201	3565442		Q9U1R7	arx-3
WBGene00000201	3565442		A0A3P6PCS5	arx-3
WBGene00000202	259488		Q9N4P9	exos-4.2
WBGene00000203	176697	Q9XWV3		arx-5
WBGene00000204	175650	P58798		arx-6
WBGene00000205	171882		O61861	arx-7
WBGene00000206	175605		Q20053	asb-1
WBGene00000207	180718		Q19126	asb-2
WBGene00000207	180718		Q19126	asb-2
WBGene00000208	175159		G5EDK1	trip-4
WBGene00000209	172673	P90921		asg-1
WBGene00000210	180956	Q18803		asg-2
WBGene00000211	174131	Q10916		asm-1
WBGene00000212	181323	Q23498		asm-2
WBGene00000213	176879	Q9UAY4		asm-3
WBGene00000213	176879		G8JY85	asm-3
WBGene00000214	180251	G5EEI4		asp-1
WBGene00000215	34700645		Q86NE0	asp-2
WBGene00000216	180947	P55956		asp-3
WBGene00000217	181444	Q21966		asp-4
WBGene00000218	179211		O01532	asp-5
WBGene00000219	179209	O01530		asp-6
WBGene00000220	174399		Q21361	atf-2
WBGene00000221	181576		Q22156	atf-4
WBGene00000221	181576		Q22156	atf-4
WBGene00000222	181405		Q20435	atf-6
WBGene00000223	175587	Q86MD3		atf-7
WBGene00000223	175587	Q86MD3		atf-7
WBGene00000223	175587	Q86MD3		atf-7
WBGene00000223	175587	Q86MD3		atf-7
WBGene00000223	175587	Q86MD3		atf-7
WBGene00000223	175587	Q86MD3		atf-7
WBGene00000223	175587	Q86MD3		atf-7
WBGene00000223	175587	Q86MD3		atf-7
WBGene00000224	178504		Q9XVU3	atgp-1
WBGene00000224	178504		A5Z2U2	atgp-1
WBGene00000225	175125		O45298	atgp-2
WBGene00000225	175125		G1K108	atgp-2
WBGene00000225	175125		G1K110	atgp-2
WBGene00000226	179352	Q22258		atl-1
WBGene00000226	179352	Q22258		atl-1
WBGene00000226	179352		E5QCG9	atl-1
WBGene00000227	3565793	Q9N3Q4		atm-1
WBGene00000227	3565793	Q9N3Q4		atm-1
WBGene00000228	179709		Q23158	atn-1
WBGene00000228	179709		Q9XVU8	atn-1
WBGene00000228	179709		H2L2C9	atn-1
WBGene00000228	179709		H2L2C8	atn-1
WBGene00000229	175716	P46561		atp-2
WBGene00000229	175716	P46561		atp-2
WBGene00000230	172195		P91283	atp-3
WBGene00000230	172195		P91283	atp-3
WBGene00000230	172195		P91283	atp-3
WBGene00000230	172195		P91283	atp-3
WBGene00000230	172195		Q7JNG1	atp-3
WBGene00000231	176465	G5ED29		atx-2
WBGene00000231	176465	G5ED29		atx-2
WBGene00000231	176465	G5ED29		atx-2
WBGene00000231	176465		D4PH96	atx-2
WBGene00000232	172270		Q95Q96	avr-14
WBGene00000232	172270		Q95Q96	avr-14
WBGene00000232	172270		Q95Q96	avr-14
WBGene00000232	172270		Q95Q97	avr-14
WBGene00000232	172270		Q8IFY7	avr-14
WBGene00000233	179834		G5ECH3	avr-15
WBGene00000233	179834		Q95PJ6	avr-15
WBGene00000233	179834		D7SFP2	avr-15
WBGene00000235	176330	Q03565		baf-1
WBGene00000236	172373	O44739		bag-1
WBGene00000237	171868	G5ECL4		bam-2
WBGene00000238	180982	Q18825		bar-1
WBGene00000239	175778		H2KYG4	bas-1
WBGene00000239	175778		O45137	bas-1
WBGene00000240	174401	P90925		pah-1
WBGene00000240	174401	P90925		pah-1
WBGene00000241	260219	Q9NEZ7		bbs-1
WBGene00000242	259580	Q19640		bbs-2
WBGene00000244	188904	Q23049		bbs-8
WBGene00000245	180890	Q22460		bca-1
WBGene00000246	178008		Q21593	bcc-1
WBGene00000247	177345	Q22592		bec-1
WBGene00000247	177345	Q22592		bec-1
WBGene00000248	175461		Q18817	ben-1
WBGene00000249	179597	G5EFA2		bir-1
WBGene00000249	179597	G5EFA2		bir-1
WBGene00000250	179841	G5ECJ5		bir-2
WBGene00000251	174653	Q09457		bli-1
WBGene00000252	191611		O01904	bli-2
WBGene00000253	171608	O61213		bli-3
WBGene00000253	171608	O61213		bli-3
WBGene00000254	172333	P51559		bli-4
WBGene00000254	172333	P51559		bli-4
WBGene00000254	172333	P51559		bli-4
WBGene00000254	172333	P51559		bli-4
WBGene00000254	172333	P51559		bli-4
WBGene00000254	172333	P51559		bli-4
WBGene00000254	172333	P51559		bli-4
WBGene00000254	172333	P51559		bli-4
WBGene00000254	172333	P51559		bli-4
WBGene00000254	172333	P51559		bli-4
WBGene00000254	172333	P51559		bli-4
WBGene00000255	185812	O62247		bli-5
WBGene00000256	177399		Q8MXR1	bli-6
WBGene00000257	179948		G5EGL7	bmk-1
WBGene00000257	179948		G5ECF4	bmk-1
WBGene00000259	174039		Q9BI98	bpl-1
WBGene00000259	174039		G5ECZ9	bpl-1
WBGene00000259	174039		G5EFB4	bpl-1
WBGene00000259	174039		G5EFB4	bpl-1
WBGene00000259	174039		G5EFB4	bpl-1
WBGene00000259	174039		G5EFB4	bpl-1
WBGene00000259	174039		G5EFB4	bpl-1
WBGene00000259	174039		G5EFB4	bpl-1
WBGene00000262	181481		Q20741	bra-1
WBGene00000263	175254		O01917	F23H11.5
WBGene00000264	175499	B6VQ60		brc-1
WBGene00000264	175499	B6VQ60		brc-1
WBGene00000264	175499		A0A679L8N4	brc-1
WBGene00000265	175959	Q21209		brd-1
WBGene00000266	177717	Q18801		bre-1
WBGene00000266	177717	Q18801		bre-1
WBGene00000266	177717	Q18801		bre-1
WBGene00000266	177717	Q18801		bre-1
WBGene00000266	177717	Q18801		bre-1
WBGene00000267	189753	Q6QMT2		bre-2
WBGene00000267	189753	Q6QMT2		bre-2
WBGene00000267	189753	Q6QMT2		bre-2
WBGene00000267	189753		C3JXF0	bre-2
WBGene00000267	189753		D0Z5N7	bre-2
WBGene00000268	176332	Q03562		bre-3
WBGene00000268	176332	Q03562		bre-3
WBGene00000268	176332	Q03562		bre-3
WBGene00000269	190668	Q9GUM2		bre-4
WBGene00000269	190668	Q9GUM2		bre-4
WBGene00000269	190668	Q9GUM2		bre-4
WBGene00000270	178142	Q95US5		bre-5
WBGene00000270	178142		F5GUA1	bre-5
WBGene00000271	174199		A0A131MCT5	brf-1
WBGene00000271	174199		A0A131MBG0	brf-1
WBGene00000272	172158		Q95ZL9	bro-1
WBGene00000273	176637		Q9U1S2	brp-1
WBGene00000273	176637		I2HAF5	brp-1
WBGene00000274	174965		G5EF07	btf-1
WBGene00000275	172468	Q21776		bub-1
WBGene00000276	175968	Q20932		byn-1
WBGene00000277	181382	Q93249		cab-1
WBGene00000277	181382	Q93249		cab-1
WBGene00000279	186231	Q20781		cah-1
WBGene00000279	186231		A0A131MB23	cah-1
WBGene00000280	174218	Q18932		cah-2
WBGene00000281	181713	Q27504		cah-3
WBGene00000282	181478		Q21614	cah-4
WBGene00000282	181478		Q8WQD8	cah-4
WBGene00000283	180972	Q10462		cah-5
WBGene00000284	189049		O02637	cah-6
WBGene00000284	189049		O02637	cah-6
WBGene00000285	179715	P04630		cal-1
WBGene00000285	179715		H9G2Z0	cal-1
WBGene00000286	182789		G5EEG0	cal-2
WBGene00000287	177143		Q94288	cal-3
WBGene00000287	177143		U4PQW9	cal-3
WBGene00000288	177945		G5EDZ8	cal-4
WBGene00000288	177945		G5EF93	cal-4
WBGene00000288	177945		G5EF93	cal-4
WBGene00000288	177945		O18058	cal-4
WBGene00000289	174473	G5EGK5		cam-1
WBGene00000289	174473	G5EGK5		cam-1
WBGene00000289	174473	G5EGK5		cam-1
WBGene00000289	174473	G5EGK5		cam-1
WBGene00000292	177497	P34685		cap-1
WBGene00000293	174673	P34686		cap-2
WBGene00000294	181729		Q95YA9	cas-1
WBGene00000294	181729		H2L023	cas-1
WBGene00000295	180837		Q9GNP0	cat-1
WBGene00000295	180837		Q9GNP0	cat-1
WBGene00000296	173411		S6FN11	cat-2
WBGene00000296	173411		S6FWP9	cat-2
WBGene00000296	173411	P90986		cat-2
WBGene00000298	179472	Q19980		cat-4
WBGene00000301	177815	Q94051		cav-1
WBGene00000301	177815		H2L2G6	cav-1
WBGene00000302	179838	Q18879		cav-2
WBGene00000302	179838	Q18879		cav-2
WBGene00000302	179838	Q18879		cav-2
WBGene00000302	179838	Q18879		cav-2
WBGene00000366	176380	P34545		cbp-1
WBGene00000366	176380	P34545		cbp-1
WBGene00000366	176380	P34545		cbp-1
WBGene00000366	176380	P34545		cbp-1
WBGene00000367	181045		G5EBS2	cca-1
WBGene00000367	181045		G5EBS2	cca-1
WBGene00000367	181045		G5EBS2	cca-1
WBGene00000367	181045		Q7Z002	cca-1
WBGene00000367	181045		Q7Z003	cca-1
WBGene00000367	181045		Q7YZR6	cca-1
WBGene00000367	181045		A0A0K3ASP4	cca-1
WBGene00000368	171933		O01661	ccb-1
WBGene00000369	176625	Q17345		ccf-1
WBGene00000370	178426		Q9NA39	ccg-1
WBGene00000371	172832		P90849	cox-5B
WBGene00000371	172832		P90849	cox-5B
WBGene00000372	188362	Q27519		cyp-13A7
WBGene00000373	178926		Q27531	cyp-14A5
WBGene00000375	173936	Q09660		cyp-44A1
WBGene00000376	178184		G5EE09	ccr-4
WBGene00000376	178184		Q9U1P4	ccr-4
WBGene00000376	178184		Q8I4B4	ccr-4
WBGene00000376	178184		Q8I4B4	ccr-4
WBGene00000376	178184		B3GWC3	ccr-4
WBGene00000376	178184		A0A061AD13	ccr-4
WBGene00000377	174318	P41988		cct-1
WBGene00000378	174421	P47207		cct-2
WBGene00000379	174330	P47208		cct-4
WBGene00000379	174330	P47208		cct-4
WBGene00000380	175588	P47209		cct-5
WBGene00000381	175819	P46550		cct-6
WBGene00000381	175819	P46550		cct-6
WBGene00000381	175819		G8JY43	cct-6
WBGene00000382	172029		P91155	cdc-6
WBGene00000383	173945	P81299		cdc-14
WBGene00000383	173945	P81299		cdc-14
WBGene00000383	173945	P81299		cdc-14
WBGene00000383	173945	P81299		cdc-14
WBGene00000383	173945	P81299		cdc-14
WBGene00000383	173945	P81299		cdc-14
WBGene00000386	172353	O44552		cdc-25.1
WBGene00000387	178645	O44628		cdc-25.2
WBGene00000387	178645		A0A0K3AXQ4	cdc-25.2
WBGene00000387	178645		A0A0K3ASE2	cdc-25.2
WBGene00000388	176260	P30634		cdc-25.3
WBGene00000389	191612		Q21762	cdc-25.4
WBGene00000390	174233	Q05062		cdc-42
WBGene00000391	183546		Q22922	cdd-1
WBGene00000392	186044		Q20628	cdd-2
WBGene00000393	180923	Q95QW4		cdf-1
WBGene00000393	180923	Q95QW4		cdf-1
WBGene00000393	180923	Q95QW4		cdf-1
WBGene00000393	180923	Q95QW4		cdf-1
WBGene00000393	180923		A0A0K3ASM2	cdf-1
WBGene00000395	176085	P34616		cdh-3
WBGene00000396	175590	Q19319		cdh-4
WBGene00000397	177671		Q19194	cdh-5
WBGene00000397	177671		H2KZC7	cdh-5
WBGene00000397	177671		X5M5L3	cdh-5
WBGene00000397	177671		X5M8R9	cdh-5
WBGene00000399	175143		O62328	cdh-7
WBGene00000401	186608		Q21035	cdh-9
WBGene00000402	183476		Q5F4U0	cdh-10
WBGene00000403	174006		G5ED46	casy-1
WBGene00000403	174006		H2KY57	casy-1
WBGene00000403	174006		Q2L6X9	casy-1
WBGene00000405	176374	P34556		cdk-1
WBGene00000406	181472	Q9XTR1		cdk-4
WBGene00000407	176774	G5ECH7		cdk-5
WBGene00000408	171784	G5EFV5		cdk-7
WBGene00000408	171784	G5EFV5		cdk-7
WBGene00000408	171784	G5EFV5		cdk-7
WBGene00000409	172677	P90866		cdk-8
WBGene00000410	173023	Q9TVL3		cdk-9
WBGene00000410	173023	Q9TVL3		cdk-9
WBGene00000411	174659	Q09599		cdl-1
WBGene00000412	180064		G5EE89	cdr-1
WBGene00000413	171896		Q86S68	cdt-1
WBGene00000414	176190	P34618		cec-1
WBGene00000415	173064	Q9XWD6		ced-1
WBGene00000415	173064	Q9XWD6		ced-1
WBGene00000415	173064	Q9XWD6		ced-1
WBGene00000415	173064	Q9XWD6		ced-1
WBGene00000416	176968	Q9NHC3		ced-2
WBGene00000416	176968		U4PMJ0	ced-2
WBGene00000416	176968		U4PRV3	ced-2
WBGene00000417	178272	P42573		ced-3
WBGene00000417	178272		D3YT61	ced-3
WBGene00000418	175643	P30429		ced-4
WBGene00000418	175643	P30429		ced-4
WBGene00000419	177942		G5EEN3	ced-5
WBGene00000420	175773	O76337		ced-6
WBGene00000421	176352	P34358		ced-7
WBGene00000421	176352	P34358		ced-7
WBGene00000421	176352	P34358		ced-7
WBGene00000421	176352	P34358		ced-7
WBGene00000421	176352		C0P274	ced-7
WBGene00000422	184190	O17386		ced-8
WBGene00000423	3565776	P41958		ced-9
WBGene00000424	177111	Q03206		ced-10
WBGene00000424	177111	Q03206		ced-10
WBGene00000425	176288	P34641		ced-11
WBGene00000426	172890	Q8STE5		ced-12
WBGene00000426	172890		V5Z1T2	ced-12
WBGene00000427	191625		Q9TY06	ced-13
WBGene00000428	191614	P53547		ceh-1
WBGene00000429	191615	G5ECT8		ceh-2
WBGene00000430	191616	P20269		ceh-5
WBGene00000431	172640	P20268		ceh-6
WBGene00000432	174391	P20270		ceh-7
WBGene00000433	191617	Q94398		ceh-8
WBGene00000433	191617		A0A0S4XRQ4	ceh-8
WBGene00000433	191617		A0A0S4XRV4	ceh-8
WBGene00000434	267057	P56407		ceh-9
WBGene00000435	175811	P41935		ceh-10
WBGene00000436	172255	P17487		ceh-12
WBGene00000436	172255		A0A131MAP5	ceh-12
WBGene00000437	176069	P17488		ceh-13
WBGene00000438	181012	P20271		ceh-14
WBGene00000439	191618	P34326		ceh-16
WBGene00000439	191618	P34326		ceh-16
WBGene00000440	172059	G5EC89		ceh-17
WBGene00000441	180671	P41934		ceh-18
WBGene00000442	177590	P26797		ceh-19
WBGene00000442	177590	P26797		ceh-19
WBGene00000443	3565545	P41779		ceh-20
WBGene00000444	180504	Q22811		ceh-21
WBGene00000445	179485	P41936		ceh-22
